Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (MDT)
1,1,1,,,,Oertli,6/24/2020 9:45
1,2,2,,,,Fire Bridich,6/24/2020 9:45
1,3,3,,,,Sweeney,6/24/2020 9:45
1,4,4,,,,Heun1,6/24/2020 9:45
1,5,5,,,,Cusick,6/24/2020 9:45
1,6,6,,,,Hamilton,6/24/2020 9:45
1,7,7,,,,Jackson,6/24/2020 9:45
1,8,8,,,,Hatleback,6/24/2020 9:45
1,9,9,,,,Miles,6/24/2020 9:45
2,1,10,,,,Miles,6/24/2020 9:45
2,2,11,,,,Hatleback,6/24/2020 9:45
2,3,12,,,,Jackson,6/24/2020 9:45
2,4,13,,,,Hamilton,6/24/2020 9:45
2,5,14,,,,Cusick,6/24/2020 9:45
2,6,15,,,,Heun1,6/24/2020 9:45
2,7,16,,,,Sweeney,6/24/2020 9:45
2,8,17,,,,Fire Bridich,6/24/2020 9:45
2,9,18,,,,Oertli,6/24/2020 9:45
3,1,19,,,,Oertli,6/24/2020 9:45
3,2,20,,,,Fire Bridich,6/24/2020 9:45
3,3,21,,,,Sweeney,6/24/2020 9:45
3,4,22,,,,Heun1,6/24/2020 9:45
3,5,23,,,,Cusick,6/24/2020 9:45
3,6,24,,,,Hamilton,6/24/2020 9:45
3,7,25,,,,Jackson,6/24/2020 9:45
3,8,26,,,,Hatleback,6/24/2020 9:45
3,9,27,,,,Miles,6/24/2020 9:45
4,1,28,,,,Miles,6/24/2020 9:45
4,2,29,,,,Hatleback,6/24/2020 9:45
4,3,30,,,,Jackson,6/24/2020 9:45
4,4,31,,,,Hamilton,6/24/2020 9:45
4,5,32,,,,Cusick,6/24/2020 9:45
4,6,33,,,,Heun1,6/24/2020 9:45
4,7,34,,,,Sweeney,6/24/2020 9:45
4,8,35,,,,Fire Bridich,6/24/2020 9:45
4,9,36,,,,Oertli,6/24/2020 9:45
5,1,37,,,,Oertli,6/24/2020 9:45
5,2,38,,,,Fire Bridich,6/24/2020 9:45
5,3,39,,,,Sweeney,6/24/2020 9:45
5,4,40,,,,Heun1,6/24/2020 9:45
5,5,41,,,,Cusick,6/24/2020 9:45
5,6,42,,,,Hamilton,6/24/2020 9:45
5,7,43,,,,Jackson,6/24/2020 9:45
5,8,44,,,,Hatleback,6/24/2020 9:45
5,9,45,,,,Miles,6/24/2020 9:45
6,1,46,,,,Miles,6/24/2020 9:45
6,2,47,,,,Hatleback,6/24/2020 9:45
6,3,48,,,,Jackson,6/24/2020 9:45
6,4,49,,,,Hamilton,6/24/2020 9:45
6,5,50,,,,Cusick,6/24/2020 9:45
6,6,51,,,,Heun1,6/24/2020 9:45
6,7,52,,,,Sweeney,6/24/2020 9:45
6,8,53,,,,Fire Bridich,6/24/2020 9:45
6,9,54,,,,Oertli,6/24/2020 9:45
7,1,55,,,,Oertli,6/24/2020 9:45
7,2,56,,,,Fire Bridich,6/24/2020 9:45
7,3,57,,,,Sweeney,6/24/2020 9:45
7,4,58,,,,Heun1,6/24/2020 9:45
7,5,59,,,,Cusick,6/24/2020 9:45
7,6,60,,,,Hamilton,6/24/2020 9:45
7,7,61,,,,Jackson,6/24/2020 9:45
7,8,62,,,,Hatleback,6/24/2020 9:45
7,9,63,,,,Miles,6/24/2020 9:45
8,1,64,,,,Miles,6/24/2020 9:45
8,2,65,,,,Hatleback,6/24/2020 9:45
8,3,66,,,,Jackson,6/24/2020 9:45
8,4,67,,,,Hamilton,6/24/2020 9:45
8,5,68,,,,Cusick,6/24/2020 9:45
8,6,69,,,,Heun1,6/24/2020 9:45
8,7,70,,,,Sweeney,6/24/2020 9:45
8,8,71,,,,Fire Bridich,6/24/2020 9:45
8,9,72,,,,Oertli,6/24/2020 9:45
9,1,73,,,,Oertli,6/24/2020 9:45
9,2,74,,,,Fire Bridich,6/24/2020 9:45
9,3,75,,,,Sweeney,6/24/2020 9:45
9,4,76,,,,Heun1,6/24/2020 9:45
9,5,77,,,,Cusick,6/24/2020 9:45
9,6,78,,,,Hamilton,6/24/2020 9:45
9,7,79,,,,Jackson,6/24/2020 9:45
9,8,80,,,,Hatleback,6/24/2020 9:45
9,9,81,,,,Miles,6/24/2020 9:45
10,1,82,,,,Miles,6/24/2020 9:45
10,2,83,,,,Hatleback,6/24/2020 9:45
10,3,84,,,,Jackson,6/24/2020 9:45
10,4,85,,,,Hamilton,6/24/2020 9:45
10,5,86,,,,Cusick,6/24/2020 9:45
10,6,87,,,,Heun1,6/24/2020 9:45
10,7,88,,,,Sweeney,6/24/2020 9:45
10,8,89,,,,Fire Bridich,6/24/2020 9:45
10,9,90,,,,Oertli,6/24/2020 9:45
11,1,91,,,,Oertli,6/24/2020 9:45
11,2,92,,,,Fire Bridich,6/24/2020 9:45
11,3,93,,,,Sweeney,6/24/2020 9:45
11,4,94,,,,Heun1,6/24/2020 9:45
11,5,95,,,,Cusick,6/24/2020 9:45
11,6,96,,,,Hamilton,6/24/2020 9:45
11,7,97,,,,Jackson,6/24/2020 9:45
